Protocol,Architecture,Contention,BlockSize,Throughput
cheapbft,OXII,100,100,66.67
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,0.00
cheapbft,OXII,100,100,66.67
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,166.67
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
cheapbft,OXII,100,100,133.33
cheapbft,OXII,100,100,100.00
