Protocol,Architecture,Contention,BlockSize,Throughput
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,22.67
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,20.33
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,0.00
cheapbft,XOV,100,100,40.00
cheapbft,XOV,100,100,170.67
cheapbft,XOV,100,100,123.67
cheapbft,XOV,100,100,157.33
cheapbft,XOV,100,100,120.33
cheapbft,XOV,100,100,70.00
cheapbft,XOV,100,100,78.67
cheapbft,XOV,100,100,150.00
cheapbft,XOV,100,100,158.67
cheapbft,XOV,100,100,178.00
cheapbft,XOV,100,100,173.33
cheapbft,XOV,100,100,129.67
cheapbft,XOV,100,100,104.00
cheapbft,XOV,100,100,127.33
cheapbft,XOV,100,100,108.00
cheapbft,XOV,100,100,145.00
cheapbft,XOV,100,100,122.00
cheapbft,XOV,100,100,129.67
cheapbft,XOV,100,100,98.33
cheapbft,XOV,100,100,96.00
cheapbft,XOV,100,100,98.33
cheapbft,XOV,100,100,100.00
cheapbft,XOV,100,100,102.67
cheapbft,XOV,100,100,114.00
cheapbft,XOV,100,100,147.33
cheapbft,XOV,100,100,96.00
cheapbft,XOV,100,100,121.67
cheapbft,XOV,100,100,106.67
cheapbft,XOV,100,100,96.33
cheapbft,XOV,100,100,97.33
cheapbft,XOV,100,100,137.67
cheapbft,XOV,100,100,81.67
cheapbft,XOV,100,100,99.33
cheapbft,XOV,100,100,116.33
cheapbft,XOV,100,100,123.33
cheapbft,XOV,100,100,100.33
cheapbft,XOV,100,100,141.33
cheapbft,XOV,100,100,82.67
cheapbft,XOV,100,100,121.67
cheapbft,XOV,100,100,100.67
cheapbft,XOV,100,100,99.33
cheapbft,XOV,100,100,141.67
cheapbft,XOV,100,100,78.33
cheapbft,XOV,100,100,98.67
cheapbft,XOV,100,100,139.33
cheapbft,XOV,100,100,78.00
cheapbft,XOV,100,100,122.67
cheapbft,XOV,100,100,159.33
cheapbft,XOV,100,100,58.67
cheapbft,XOV,100,100,119.67
cheapbft,XOV,100,100,120.67
cheapbft,XOV,100,100,97.33
