Protocol,Architecture,Contention,BlockSize,Throughput
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,0.00
cheapbft,XOV++,100,100,69.67
cheapbft,XOV++,100,100,114.33
cheapbft,XOV++,100,100,101.33
cheapbft,XOV++,100,100,132.67
cheapbft,XOV++,100,100,131.67
cheapbft,XOV++,100,100,116.33
cheapbft,XOV++,100,100,111.33
cheapbft,XOV++,100,100,108.67
cheapbft,XOV++,100,100,103.33
cheapbft,XOV++,100,100,100.67
cheapbft,XOV++,100,100,105.00
cheapbft,XOV++,100,100,155.00
cheapbft,XOV++,100,100,157.33
cheapbft,XOV++,100,100,191.00
cheapbft,XOV++,100,100,152.00
cheapbft,XOV++,100,100,166.67
cheapbft,XOV++,100,100,146.00
cheapbft,XOV++,100,100,131.00
cheapbft,XOV++,100,100,112.67
cheapbft,XOV++,100,100,91.67
cheapbft,XOV++,100,100,104.00
cheapbft,XOV++,100,100,64.67
cheapbft,XOV++,100,100,89.00
cheapbft,XOV++,100,100,113.33
cheapbft,XOV++,100,100,66.00
cheapbft,XOV++,100,100,58.33
cheapbft,XOV++,100,100,72.67
cheapbft,XOV++,100,100,77.00
cheapbft,XOV++,100,100,81.33
cheapbft,XOV++,100,100,89.33
cheapbft,XOV++,100,100,88.00
cheapbft,XOV++,100,100,75.67
cheapbft,XOV++,100,100,90.00
cheapbft,XOV++,100,100,97.67
cheapbft,XOV++,100,100,64.00
cheapbft,XOV++,100,100,79.00
cheapbft,XOV++,100,100,86.00
cheapbft,XOV++,100,100,78.67
cheapbft,XOV++,100,100,77.00
cheapbft,XOV++,100,100,66.00
cheapbft,XOV++,100,100,83.67
cheapbft,XOV++,100,100,66.67
cheapbft,XOV++,100,100,89.67
cheapbft,XOV++,100,100,63.00
cheapbft,XOV++,100,100,52.33
cheapbft,XOV++,100,100,96.67
cheapbft,XOV++,100,100,91.67
cheapbft,XOV++,100,100,87.00
