Protocol,Architecture,Contention,BlockSize,Throughput 
pbft,OX,100,400,533.33
pbft,OX,100,400,2000.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2933.33
pbft,OX,100,400,3200.00
pbft,OX,100,400,2666.67
pbft,OX,100,400,2533.33
pbft,OX,100,400,2533.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,400.00
pbft,OX,100,400,2666.67
pbft,OX,100,400,2666.67
pbft,OX,100,400,2933.33
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2666.67
pbft,OX,100,400,2800.00
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2666.67
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2666.67
pbft,OX,100,400,2800.00
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2533.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2933.33
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2800.00
pbft,OX,100,400,2666.67
pbft,OX,100,400,2666.67
pbft,OX,100,400,2933.33
pbft,OX,100,400,2666.67
pbft,OX,100,400,2933.33
pbft,OX,100,400,2800.00
pbft,OX,100,400,2933.33
