Protocol,Architecture,Contention,BlockSize,Throughput
pbft,OX,400,400,533.33
pbft,OX,400,400,2000.00
pbft,OX,400,400,2266.67
pbft,OX,400,400,2933.33
pbft,OX,400,400,3066.67
pbft,OX,400,400,3066.67
pbft,OX,400,400,2666.67
pbft,OX,400,400,2933.33
pbft,OX,400,400,2533.33
pbft,OX,400,400,2133.33
pbft,OX,400,400,266.67
pbft,OX,400,400,2666.67
pbft,OX,400,400,2800.00
pbft,OX,400,400,2800.00
pbft,OX,400,400,2933.33
pbft,OX,400,400,2800.00
pbft,OX,400,400,2933.33
pbft,OX,400,400,2800.00
pbft,OX,400,400,2933.33
pbft,OX,400,400,2666.67
pbft,OX,400,400,2666.67
pbft,OX,400,400,2933.33
pbft,OX,400,400,2800.00
pbft,OX,400,400,2800.00
pbft,OX,400,400,2933.33
pbft,OX,400,400,2800.00
pbft,OX,400,400,2800.00
pbft,OX,400,400,2666.67
pbft,OX,400,400,2666.67
pbft,OX,400,400,2800.00
pbft,OX,400,400,2800.00
pbft,OX,400,400,2800.00
pbft,OX,400,400,2666.67
pbft,OX,400,400,2800.00
pbft,OX,400,400,2666.67
pbft,OX,400,400,2533.33
pbft,OX,400,400,2666.67
pbft,OX,400,400,2666.67
