Protocol,Architecture,Contention,BlockSize,Throughput
pbft,OXII,10,400,400.00
pbft,OXII,10,400,2000.00
pbft,OXII,10,400,2400.00
pbft,OXII,10,400,2666.67
pbft,OXII,10,400,2800.00
pbft,OXII,10,400,2800.00
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2133.33
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2400.00
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2400.00
pbft,OXII,10,400,2400.00
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2266.67
pbft,OXII,10,400,2933.33
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3200.00
pbft,OXII,10,400,3333.33
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3200.00
pbft,OXII,10,400,3200.00
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,2933.33
pbft,OXII,10,400,3200.00
pbft,OXII,10,400,2933.33
pbft,OXII,10,400,2800.00
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3333.33
pbft,OXII,10,400,2933.33
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3200.00
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,2933.33
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,2933.33
pbft,OXII,10,400,3066.67
pbft,OXII,10,400,3200.00
pbft,OXII,10,400,2933.33
pbft,OXII,10,400,3066.67
