Protocol,Architecture,Contention,BlockSize,Throughput 
pbft,XOV,10,400,0.00
pbft,XOV,10,400,0.00
pbft,XOV,10,400,0.00
pbft,XOV,10,400,0.00
pbft,XOV,10,400,0.00
pbft,XOV,10,400,0.00
pbft,XOV,10,400,0.00
pbft,XOV,10,400,15.33
pbft,XOV,10,400,78.33
pbft,XOV,10,400,57.33
pbft,XOV,10,400,70.00
pbft,XOV,10,400,61.67
pbft,XOV,10,400,73.67
pbft,XOV,10,400,76.00
pbft,XOV,10,400,71.67
pbft,XOV,10,400,71.00
pbft,XOV,10,400,68.33
pbft,XOV,10,400,66.67
pbft,XOV,10,400,63.00
pbft,XOV,10,400,60.33
pbft,XOV,10,400,73.33
pbft,XOV,10,400,51.67
pbft,XOV,10,400,58.00
pbft,XOV,10,400,62.33
pbft,XOV,10,400,59.00
pbft,XOV,10,400,64.33
pbft,XOV,10,400,74.33
pbft,XOV,10,400,62.33
pbft,XOV,10,400,70.67
pbft,XOV,10,400,60.67
pbft,XOV,10,400,76.33
pbft,XOV,10,400,61.00
pbft,XOV,10,400,68.67
pbft,XOV,10,400,64.67
pbft,XOV,10,400,63.67
pbft,XOV,10,400,59.33
pbft,XOV,10,400,76.33
pbft,XOV,10,400,67.00
pbft,XOV,10,400,79.33
pbft,XOV,10,400,68.33
pbft,XOV,10,400,59.67
pbft,XOV,10,400,68.00
pbft,XOV,10,400,75.67
pbft,XOV,10,400,60.33
pbft,XOV,10,400,69.00
pbft,XOV,10,400,66.67
pbft,XOV,10,400,71.67
pbft,XOV,10,400,60.33
pbft,XOV,10,400,69.33
pbft,XOV,10,400,64.67
pbft,XOV,10,400,67.00
pbft,XOV,10,400,67.00
pbft,XOV,10,400,80.00
pbft,XOV,10,400,65.33
pbft,XOV,10,400,62.33
pbft,XOV,10,400,60.67
pbft,XOV,10,400,71.00
pbft,XOV,10,400,83.33
pbft,XOV,10,400,68.67
pbft,XOV,10,400,65.67
pbft,XOV,10,400,68.67
pbft,XOV,10,400,68.33
pbft,XOV,10,400,59.33
pbft,XOV,10,400,65.33
pbft,XOV,10,400,71.33
pbft,XOV,10,400,68.67
pbft,XOV,10,400,66.00
pbft,XOV,10,400,65.67
pbft,XOV,10,400,62.67
pbft,XOV,10,400,73.67
pbft,XOV,10,400,79.33
pbft,XOV,10,400,62.67
pbft,XOV,10,400,75.33
pbft,XOV,10,400,63.00
pbft,XOV,10,400,69.00
pbft,XOV,10,400,56.00
pbft,XOV,10,400,70.67
pbft,XOV,10,400,57.00
pbft,XOV,10,400,77.33
pbft,XOV,10,400,67.00
pbft,XOV,10,400,81.00
pbft,XOV,10,400,60.00
pbft,XOV,10,400,67.00
pbft,XOV,10,400,71.33
pbft,XOV,10,400,74.33
pbft,XOV,10,400,65.67
pbft,XOV,10,400,76.33
pbft,XOV,10,400,59.33
pbft,XOV,10,400,61.67
pbft,XOV,10,400,68.00
pbft,XOV,10,400,64.00
pbft,XOV,10,400,68.00
pbft,XOV,10,400,67.67
pbft,XOV,10,400,54.00
pbft,XOV,10,400,74.00
pbft,XOV,10,400,68.67
pbft,XOV,10,400,63.67
pbft,XOV,10,400,68.33
pbft,XOV,10,400,56.67
pbft,XOV,10,400,68.00
pbft,XOV,10,400,69.33
pbft,XOV,10,400,61.00
pbft,XOV,10,400,64.67
pbft,XOV,10,400,68.00
pbft,XOV,10,400,63.33
pbft,XOV,10,400,60.00
pbft,XOV,10,400,77.33
