Protocol,Architecture,Contention,BlockSize,Throughput
pbft,XOV,400,400,0.00
pbft,XOV,400,400,0.00
pbft,XOV,400,400,0.00
pbft,XOV,400,400,0.00
pbft,XOV,400,400,0.00
pbft,XOV,400,400,0.00
pbft,XOV,400,400,0.00
pbft,XOV,400,400,0.00
pbft,XOV,400,400,468.00
pbft,XOV,400,400,1140.67
pbft,XOV,400,400,1206.00
pbft,XOV,400,400,557.33
pbft,XOV,400,400,672.00
pbft,XOV,400,400,987.67
pbft,XOV,400,400,1003.00
pbft,XOV,400,400,904.67
pbft,XOV,400,400,1131.00
pbft,XOV,400,400,822.67
pbft,XOV,400,400,870.33
pbft,XOV,400,400,872.67
pbft,XOV,400,400,808.67
pbft,XOV,400,400,728.67
pbft,XOV,400,400,709.33
pbft,XOV,400,400,777.67
pbft,XOV,400,400,720.00
pbft,XOV,400,400,717.67
pbft,XOV,400,400,720.00
pbft,XOV,400,400,883.33
pbft,XOV,400,400,788.33
pbft,XOV,400,400,719.67
pbft,XOV,400,400,860.67
pbft,XOV,400,400,708.00
pbft,XOV,400,400,810.33
pbft,XOV,400,400,794.00
pbft,XOV,400,400,808.33
pbft,XOV,400,400,724.00
pbft,XOV,400,400,804.67
pbft,XOV,400,400,719.33
pbft,XOV,400,400,795.33
pbft,XOV,400,400,789.00
pbft,XOV,400,400,796.00
pbft,XOV,400,400,713.33
pbft,XOV,400,400,795.33
pbft,XOV,400,400,800.33
pbft,XOV,400,400,703.67
pbft,XOV,400,400,804.67
pbft,XOV,400,400,782.33
pbft,XOV,400,400,795.67
pbft,XOV,400,400,800.33
pbft,XOV,400,400,792.00
pbft,XOV,400,400,876.33
pbft,XOV,400,400,792.00
pbft,XOV,400,400,812.67
pbft,XOV,400,400,800.00
pbft,XOV,400,400,793.33
pbft,XOV,400,400,805.33
pbft,XOV,400,400,802.33
pbft,XOV,400,400,879.33
pbft,XOV,400,400,716.67
pbft,XOV,400,400,723.33
pbft,XOV,400,400,806.33
pbft,XOV,400,400,795.33
pbft,XOV,400,400,786.00
pbft,XOV,400,400,797.33
pbft,XOV,400,400,772.33
pbft,XOV,400,400,881.00
pbft,XOV,400,400,793.33
pbft,XOV,400,400,712.67
pbft,XOV,400,400,876.33
pbft,XOV,400,400,810.00
pbft,XOV,400,400,708.67
pbft,XOV,400,400,882.67
pbft,XOV,400,400,791.00
pbft,XOV,400,400,792.33
pbft,XOV,400,400,874.00
pbft,XOV,400,400,790.00
pbft,XOV,400,400,799.33
pbft,XOV,400,400,803.33
pbft,XOV,400,400,806.67
pbft,XOV,400,400,874.00
pbft,XOV,400,400,866.00
pbft,XOV,400,400,792.67
pbft,XOV,400,400,795.33
pbft,XOV,400,400,970.67
pbft,XOV,400,400,803.67
pbft,XOV,400,400,876.33
pbft,XOV,400,400,872.33
pbft,XOV,400,400,882.67
pbft,XOV,400,400,865.67
pbft,XOV,400,400,875.67
pbft,XOV,400,400,874.00
pbft,XOV,400,400,716.00
pbft,XOV,400,400,877.00
pbft,XOV,400,400,872.67
pbft,XOV,400,400,798.33
pbft,XOV,400,400,792.33
pbft,XOV,400,400,878.00
pbft,XOV,400,400,802.33
pbft,XOV,400,400,871.67
pbft,XOV,400,400,884.33
pbft,XOV,400,400,725.00
pbft,XOV,400,400,872.67
pbft,XOV,400,400,789.00
pbft,XOV,400,400,781.67
pbft,XOV,400,400,880.33
pbft,XOV,400,400,718.00
pbft,XOV,400,400,789.67
pbft,XOV,400,400,791.00
pbft,XOV,400,400,808.33
pbft,XOV,400,400,793.33
