Protocol,Architecture,Contention,BlockSize,Throughput
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,632.00
pbft,XOV++,10,400,964.33
pbft,XOV++,10,400,479.00
pbft,XOV++,10,400,234.33
pbft,XOV++,10,400,158.67
pbft,XOV++,10,400,321.33
pbft,XOV++,10,400,721.33
pbft,XOV++,10,400,712.67
pbft,XOV++,10,400,862.00
pbft,XOV++,10,400,654.33
pbft,XOV++,10,400,552.33
pbft,XOV++,10,400,734.00
pbft,XOV++,10,400,237.00
pbft,XOV++,10,400,1031.33
pbft,XOV++,10,400,1114.67
pbft,XOV++,10,400,477.33
pbft,XOV++,10,400,556.33
pbft,XOV++,10,400,1380.33
pbft,XOV++,10,400,488.33
pbft,XOV++,10,400,786.33
pbft,XOV++,10,400,795.33
pbft,XOV++,10,400,631.00
pbft,XOV++,10,400,719.00
pbft,XOV++,10,400,732.67
pbft,XOV++,10,400,724.33
pbft,XOV++,10,400,637.67
pbft,XOV++,10,400,555.00
pbft,XOV++,10,400,793.33
pbft,XOV++,10,400,720.67
pbft,XOV++,10,400,558.00
pbft,XOV++,10,400,798.00
pbft,XOV++,10,400,563.67
pbft,XOV++,10,400,801.67
pbft,XOV++,10,400,719.67
pbft,XOV++,10,400,725.67
pbft,XOV++,10,400,638.33
pbft,XOV++,10,400,616.67
pbft,XOV++,10,400,812.00
pbft,XOV++,10,400,715.33
pbft,XOV++,10,400,643.00
pbft,XOV++,10,400,732.67
pbft,XOV++,10,400,810.67
pbft,XOV++,10,400,638.67
pbft,XOV++,10,400,801.67
pbft,XOV++,10,400,645.33
pbft,XOV++,10,400,723.00
pbft,XOV++,10,400,730.67
pbft,XOV++,10,400,642.33
pbft,XOV++,10,400,652.67
pbft,XOV++,10,400,809.67
pbft,XOV++,10,400,718.33
pbft,XOV++,10,400,805.67
pbft,XOV++,10,400,716.33
pbft,XOV++,10,400,733.33
pbft,XOV++,10,400,723.33
pbft,XOV++,10,400,719.00
pbft,XOV++,10,400,717.33
pbft,XOV++,10,400,871.00
pbft,XOV++,10,400,715.33
pbft,XOV++,10,400,0.00
pbft,XOV++,10,400,478.33
pbft,XOV++,10,400,628.00
pbft,XOV++,10,400,640.00
pbft,XOV++,10,400,637.00
pbft,XOV++,10,400,651.67
pbft,XOV++,10,400,635.00
pbft,XOV++,10,400,558.00
pbft,XOV++,10,400,635.67
pbft,XOV++,10,400,633.67
pbft,XOV++,10,400,635.33
pbft,XOV++,10,400,721.67
pbft,XOV++,10,400,648.67
pbft,XOV++,10,400,645.00
pbft,XOV++,10,400,634.67
pbft,XOV++,10,400,562.67
pbft,XOV++,10,400,320.00
pbft,XOV++,10,400,468.67
pbft,XOV++,10,400,405.33
pbft,XOV++,10,400,646.00
pbft,XOV++,10,400,642.00
pbft,XOV++,10,400,662.00
pbft,XOV++,10,400,648.33
pbft,XOV++,10,400,635.67
pbft,XOV++,10,400,707.67
pbft,XOV++,10,400,629.67
pbft,XOV++,10,400,798.33
pbft,XOV++,10,400,730.33
pbft,XOV++,10,400,562.67
pbft,XOV++,10,400,716.67
pbft,XOV++,10,400,627.33
pbft,XOV++,10,400,640.33
pbft,XOV++,10,400,558.33
pbft,XOV++,10,400,737.00
pbft,XOV++,10,400,646.00
pbft,XOV++,10,400,706.00
pbft,XOV++,10,400,555.33
pbft,XOV++,10,400,719.67
pbft,XOV++,10,400,637.67
pbft,XOV++,10,400,616.00
pbft,XOV++,10,400,625.00
pbft,XOV++,10,400,728.33
pbft,XOV++,10,400,625.67
pbft,XOV++,10,400,708.67
pbft,XOV++,10,400,720.33
pbft,XOV++,10,400,486.00
pbft,XOV++,10,400,736.00
pbft,XOV++,10,400,645.33
pbft,XOV++,10,400,727.00
pbft,XOV++,10,400,711.00
pbft,XOV++,10,400,623.33
pbft,XOV++,10,400,640.00
pbft,XOV++,10,400,562.33
pbft,XOV++,10,400,659.67
pbft,XOV++,10,400,651.00
pbft,XOV++,10,400,639.67
pbft,XOV++,10,400,556.33
