Protocol,Architecture,Contention,BlockSize,Throughput 
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,0.00
pbft,XOV++,100,400,694.67
pbft,XOV++,100,400,700.00
pbft,XOV++,100,400,169.33
pbft,XOV++,100,400,341.33
pbft,XOV++,100,400,242.67
pbft,XOV++,100,400,610.67
pbft,XOV++,100,400,838.00
pbft,XOV++,100,400,782.33
pbft,XOV++,100,400,761.00
pbft,XOV++,100,400,686.33
pbft,XOV++,100,400,419.67
pbft,XOV++,100,400,767.33
pbft,XOV++,100,400,811.33
pbft,XOV++,100,400,496.00
pbft,XOV++,100,400,550.33
pbft,XOV++,100,400,338.67
pbft,XOV++,100,400,449.00
pbft,XOV++,100,400,666.00
pbft,XOV++,100,400,596.33
pbft,XOV++,100,400,465.33
pbft,XOV++,100,400,456.00
pbft,XOV++,100,400,664.00
pbft,XOV++,100,400,649.67
pbft,XOV++,100,400,558.33
pbft,XOV++,100,400,608.33
pbft,XOV++,100,400,552.67
pbft,XOV++,100,400,589.00
pbft,XOV++,100,400,630.00
pbft,XOV++,100,400,550.67
pbft,XOV++,100,400,523.67
pbft,XOV++,100,400,575.33
pbft,XOV++,100,400,540.67
pbft,XOV++,100,400,540.33
pbft,XOV++,100,400,474.33
pbft,XOV++,100,400,587.67
pbft,XOV++,100,400,501.67
pbft,XOV++,100,400,588.33
pbft,XOV++,100,400,595.33
pbft,XOV++,100,400,514.67
pbft,XOV++,100,400,508.00
pbft,XOV++,100,400,618.33
pbft,XOV++,100,400,608.67
pbft,XOV++,100,400,508.67
pbft,XOV++,100,400,528.33
pbft,XOV++,100,400,528.33
pbft,XOV++,100,400,610.33
pbft,XOV++,100,400,690.67
pbft,XOV++,100,400,548.67
pbft,XOV++,100,400,649.33
pbft,XOV++,100,400,602.00
pbft,XOV++,100,400,586.67
pbft,XOV++,100,400,574.00
pbft,XOV++,100,400,552.33
pbft,XOV++,100,400,674.00
pbft,XOV++,100,400,514.00
pbft,XOV++,100,400,518.33
pbft,XOV++,100,400,623.00
pbft,XOV++,100,400,578.33
pbft,XOV++,100,400,639.67
pbft,XOV++,100,400,588.67
pbft,XOV++,100,400,594.33
pbft,XOV++,100,400,159.33
pbft,XOV++,100,400,549.00
pbft,XOV++,100,400,457.00
pbft,XOV++,100,400,525.00
pbft,XOV++,100,400,614.33
pbft,XOV++,100,400,467.67
pbft,XOV++,100,400,542.33
pbft,XOV++,100,400,553.00
pbft,XOV++,100,400,523.67
pbft,XOV++,100,400,444.00
pbft,XOV++,100,400,257.33
pbft,XOV++,100,400,260.67
pbft,XOV++,100,400,320.33
pbft,XOV++,100,400,525.67
pbft,XOV++,100,400,449.67
pbft,XOV++,100,400,539.67
pbft,XOV++,100,400,589.33
pbft,XOV++,100,400,449.00
pbft,XOV++,100,400,628.00
pbft,XOV++,100,400,518.67
pbft,XOV++,100,400,511.67
pbft,XOV++,100,400,607.00
pbft,XOV++,100,400,549.00
pbft,XOV++,100,400,539.00
pbft,XOV++,100,400,624.33
pbft,XOV++,100,400,540.00
pbft,XOV++,100,400,483.00
pbft,XOV++,100,400,560.00
pbft,XOV++,100,400,513.00
pbft,XOV++,100,400,578.33
pbft,XOV++,100,400,672.33
pbft,XOV++,100,400,504.33
pbft,XOV++,100,400,553.33
pbft,XOV++,100,400,504.33
pbft,XOV++,100,400,600.00
pbft,XOV++,100,400,444.00
pbft,XOV++,100,400,602.67
pbft,XOV++,100,400,610.33
pbft,XOV++,100,400,377.67
pbft,XOV++,100,400,506.67
pbft,XOV++,100,400,513.67
pbft,XOV++,100,400,555.00
pbft,XOV++,100,400,539.00
pbft,XOV++,100,400,503.33
pbft,XOV++,100,400,561.33
pbft,XOV++,100,400,456.67
