Protocol,Architecture,Contention,BlockSize,Throughput
pbft,OX,400,400,800.00
pbft,OX,400,400,3733.33
pbft,OX,400,400,5066.67
pbft,OX,400,400,5333.33
pbft,OX,400,400,5200.00
pbft,OX,400,400,5466.67
pbft,OX,400,400,5466.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,5733.33
pbft,OX,400,400,5600.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6133.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6933.33
pbft,OX,400,400,6266.67
pbft,OX,400,400,6133.33
pbft,OX,400,400,6800.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,6400.00
pbft,OX,400,400,6666.67
pbft,OX,400,400,6666.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,5733.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,6133.33
pbft,OX,400,400,6800.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,6400.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6666.67
pbft,OX,400,400,6133.33
pbft,OX,400,400,5866.67
pbft,OX,400,400,6400.00
pbft,OX,400,400,5600.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6933.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,5466.67
pbft,OX,400,400,6133.33
pbft,OX,400,400,6266.67
pbft,OX,400,400,5733.33
pbft,OX,400,400,6266.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,5866.67
pbft,OX,400,400,6133.33
pbft,OX,400,400,6533.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,5600.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,5600.00
pbft,OX,400,400,6666.67
pbft,OX,400,400,5733.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,5600.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,6400.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,6533.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,6133.33
pbft,OX,400,400,6400.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,6133.33
pbft,OX,400,400,5733.33
pbft,OX,400,400,6533.33
pbft,OX,400,400,6133.33
pbft,OX,400,400,6400.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,6533.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,5466.67
pbft,OX,400,400,6800.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6533.33
pbft,OX,400,400,6133.33
pbft,OX,400,400,5866.67
pbft,OX,400,400,6533.33
pbft,OX,400,400,6666.67
pbft,OX,400,400,5733.33
pbft,OX,400,400,6266.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,5866.67
pbft,OX,400,400,6266.67
pbft,OX,400,400,6400.00
pbft,OX,400,400,5333.33
pbft,OX,400,400,5733.33
pbft,OX,400,400,5866.67
pbft,OX,400,400,5600.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,6400.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,6400.00
pbft,OX,400,400,5866.67
pbft,OX,400,400,6533.33
pbft,OX,400,400,6800.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,6400.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,5600.00
pbft,OX,400,400,6666.67
pbft,OX,400,400,5866.67
pbft,OX,400,400,6400.00
pbft,OX,400,400,6666.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6266.67
pbft,OX,400,400,5866.67
pbft,OX,400,400,6533.33
pbft,OX,400,400,6400.00
pbft,OX,400,400,6400.00
pbft,OX,400,400,6000.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,6266.67
pbft,OX,400,400,6000.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,6000.00
pbft,OX,400,400,6133.33
pbft,OX,400,400,6533.33
