Protocol,Architecture,Contention,BlockSize,Throughput
pbft,OXII,100,100,33.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,66.67
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,66.67
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,0.00
pbft,OXII,100,100,66.67
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,166.67
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,166.67
pbft,OXII,100,100,166.67
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,166.67
pbft,OXII,100,100,166.67
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
pbft,OXII,100,100,100.00
pbft,OXII,100,100,133.33
pbft,OXII,100,100,133.33
pbft,OXII,100,100,100.00
