Protocol,Architecture,Contention,BlockSize,Throughput
pbft,OXII,40,400,400.00
pbft,OXII,40,400,2133.33
pbft,OXII,40,400,2800.00
pbft,OXII,40,400,2666.67
pbft,OXII,40,400,2800.00
pbft,OXII,40,400,2666.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1066.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2133.33
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2133.33
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,2000.00
pbft,OXII,40,400,1866.67
pbft,OXII,40,400,1866.67
