Protocol,Architecture,Contention,BlockSize,Throughput
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,0.00
pbft,XOV,100,100,163.00
pbft,XOV,100,100,185.33
pbft,XOV,100,100,158.00
pbft,XOV,100,100,48.33
pbft,XOV,100,100,73.67
pbft,XOV,100,100,99.67
pbft,XOV,100,100,172.00
pbft,XOV,100,100,206.00
pbft,XOV,100,100,132.00
pbft,XOV,100,100,125.33
pbft,XOV,100,100,102.33
pbft,XOV,100,100,132.67
pbft,XOV,100,100,143.67
pbft,XOV,100,100,146.00
pbft,XOV,100,100,121.67
pbft,XOV,100,100,117.33
pbft,XOV,100,100,80.33
pbft,XOV,100,100,76.33
pbft,XOV,100,100,119.00
pbft,XOV,100,100,117.67
pbft,XOV,100,100,132.33
pbft,XOV,100,100,116.67
pbft,XOV,100,100,98.00
pbft,XOV,100,100,100.33
pbft,XOV,100,100,93.67
pbft,XOV,100,100,102.67
pbft,XOV,100,100,123.00
pbft,XOV,100,100,101.33
pbft,XOV,100,100,119.00
pbft,XOV,100,100,120.67
pbft,XOV,100,100,119.33
pbft,XOV,100,100,118.00
pbft,XOV,100,100,100.00
pbft,XOV,100,100,99.67
pbft,XOV,100,100,95.67
pbft,XOV,100,100,105.33
pbft,XOV,100,100,117.67
pbft,XOV,100,100,139.67
pbft,XOV,100,100,56.33
pbft,XOV,100,100,160.67
pbft,XOV,100,100,102.00
pbft,XOV,100,100,118.00
pbft,XOV,100,100,100.00
pbft,XOV,100,100,139.33
pbft,XOV,100,100,82.67
pbft,XOV,100,100,99.00
pbft,XOV,100,100,98.67
pbft,XOV,100,100,96.33
pbft,XOV,100,100,116.67
pbft,XOV,100,100,101.33
pbft,XOV,100,100,120.00
pbft,XOV,100,100,135.33
pbft,XOV,100,100,137.33
pbft,XOV,100,100,57.67
pbft,XOV,100,100,115.33
pbft,XOV,100,100,102.67
pbft,XOV,100,100,103.00
pbft,XOV,100,100,121.00
pbft,XOV,100,100,99.67
pbft,XOV,100,100,79.00
pbft,XOV,100,100,97.00
pbft,XOV,100,100,138.33
pbft,XOV,100,100,143.67
pbft,XOV,100,100,99.67
pbft,XOV,100,100,114.67
pbft,XOV,100,100,99.00
pbft,XOV,100,100,125.00
pbft,XOV,100,100,140.00
pbft,XOV,100,100,98.33
pbft,XOV,100,100,96.33
pbft,XOV,100,100,78.67
pbft,XOV,100,100,139.33
pbft,XOV,100,100,105.33
pbft,XOV,100,100,125.67
pbft,XOV,100,100,75.00
pbft,XOV,100,100,99.00
pbft,XOV,100,100,115.00
pbft,XOV,100,100,95.33
pbft,XOV,100,100,117.00
pbft,XOV,100,100,119.00
pbft,XOV,100,100,121.67
pbft,XOV,100,100,97.00
pbft,XOV,100,100,133.00
pbft,XOV,100,100,101.33
pbft,XOV,100,100,76.00
pbft,XOV,100,100,143.67
pbft,XOV,100,100,118.67
pbft,XOV,100,100,79.67
pbft,XOV,100,100,116.33
pbft,XOV,100,100,96.67
pbft,XOV,100,100,121.67
pbft,XOV,100,100,121.33
pbft,XOV,100,100,99.00
pbft,XOV,100,100,96.00
pbft,XOV,100,100,116.33
pbft,XOV,100,100,100.33
pbft,XOV,100,100,122.33
pbft,XOV,100,100,117.00
pbft,XOV,100,100,98.67
pbft,XOV,100,100,121.33
pbft,XOV,100,100,96.00
pbft,XOV,100,100,125.67
pbft,XOV,100,100,120.67
pbft,XOV,100,100,119.33
pbft,XOV,100,100,107.00
pbft,XOV,100,100,100.00
