Protocol,Architecture,Contention,BlockSize,Throughput
pbft,XOV,100,400,0.00
pbft,XOV,100,400,0.00
pbft,XOV,100,400,0.00
pbft,XOV,100,400,0.00
pbft,XOV,100,400,0.00
pbft,XOV,100,400,0.00
pbft,XOV,100,400,233.67
pbft,XOV,100,400,528.33
pbft,XOV,100,400,637.67
pbft,XOV,100,400,579.33
pbft,XOV,100,400,468.00
pbft,XOV,100,400,535.33
pbft,XOV,100,400,698.33
pbft,XOV,100,400,391.33
pbft,XOV,100,400,386.67
pbft,XOV,100,400,411.33
pbft,XOV,100,400,419.00
pbft,XOV,100,400,385.33
pbft,XOV,100,400,429.00
pbft,XOV,100,400,384.33
pbft,XOV,100,400,432.00
pbft,XOV,100,400,399.00
pbft,XOV,100,400,404.00
pbft,XOV,100,400,446.33
pbft,XOV,100,400,404.67
pbft,XOV,100,400,416.33
pbft,XOV,100,400,430.00
pbft,XOV,100,400,407.67
pbft,XOV,100,400,468.00
pbft,XOV,100,400,401.33
pbft,XOV,100,400,455.00
pbft,XOV,100,400,396.67
pbft,XOV,100,400,438.67
pbft,XOV,100,400,438.33
pbft,XOV,100,400,390.67
pbft,XOV,100,400,483.33
pbft,XOV,100,400,408.00
pbft,XOV,100,400,398.67
pbft,XOV,100,400,434.67
pbft,XOV,100,400,434.33
pbft,XOV,100,400,404.67
pbft,XOV,100,400,425.67
pbft,XOV,100,400,447.33
pbft,XOV,100,400,436.33
pbft,XOV,100,400,418.33
pbft,XOV,100,400,477.33
pbft,XOV,100,400,395.33
pbft,XOV,100,400,472.67
pbft,XOV,100,400,390.00
pbft,XOV,100,400,437.67
pbft,XOV,100,400,404.00
pbft,XOV,100,400,432.67
pbft,XOV,100,400,396.67
pbft,XOV,100,400,395.33
pbft,XOV,100,400,481.67
pbft,XOV,100,400,433.00
pbft,XOV,100,400,442.33
pbft,XOV,100,400,421.33
pbft,XOV,100,400,405.33
pbft,XOV,100,400,428.00
pbft,XOV,100,400,392.33
pbft,XOV,100,400,434.67
pbft,XOV,100,400,446.33
pbft,XOV,100,400,401.33
pbft,XOV,100,400,486.33
pbft,XOV,100,400,452.00
pbft,XOV,100,400,443.00
pbft,XOV,100,400,428.67
pbft,XOV,100,400,448.67
pbft,XOV,100,400,435.00
pbft,XOV,100,400,462.00
pbft,XOV,100,400,446.67
pbft,XOV,100,400,449.00
pbft,XOV,100,400,434.33
pbft,XOV,100,400,408.67
pbft,XOV,100,400,501.67
pbft,XOV,100,400,434.33
pbft,XOV,100,400,396.67
pbft,XOV,100,400,443.33
pbft,XOV,100,400,482.33
pbft,XOV,100,400,476.67
pbft,XOV,100,400,439.67
pbft,XOV,100,400,441.67
pbft,XOV,100,400,450.33
pbft,XOV,100,400,442.67
pbft,XOV,100,400,444.67
pbft,XOV,100,400,485.00
pbft,XOV,100,400,407.33
pbft,XOV,100,400,465.33
pbft,XOV,100,400,440.33
pbft,XOV,100,400,439.67
pbft,XOV,100,400,474.67
pbft,XOV,100,400,397.00
pbft,XOV,100,400,399.00
pbft,XOV,100,400,422.00
pbft,XOV,100,400,422.33
pbft,XOV,100,400,430.67
pbft,XOV,100,400,449.67
pbft,XOV,100,400,438.00
pbft,XOV,100,400,435.00
pbft,XOV,100,400,440.00
pbft,XOV,100,400,449.33
pbft,XOV,100,400,470.33
pbft,XOV,100,400,408.00
pbft,XOV,100,400,471.67
pbft,XOV,100,400,437.33
pbft,XOV,100,400,454.67
pbft,XOV,100,400,470.67
pbft,XOV,100,400,409.00
pbft,XOV,100,400,429.33
pbft,XOV,100,400,467.00
pbft,XOV,100,400,439.00
pbft,XOV,100,400,435.00
pbft,XOV,100,400,418.00
pbft,XOV,100,400,434.00
pbft,XOV,100,400,442.33
pbft,XOV,100,400,470.00
pbft,XOV,100,400,420.67
pbft,XOV,100,400,442.33
pbft,XOV,100,400,430.33
pbft,XOV,100,400,446.33
pbft,XOV,100,400,420.67
pbft,XOV,100,400,436.33
pbft,XOV,100,400,434.33
pbft,XOV,100,400,442.33
pbft,XOV,100,400,401.67
pbft,XOV,100,400,439.00
pbft,XOV,100,400,442.67
pbft,XOV,100,400,431.67
pbft,XOV,100,400,400.00
pbft,XOV,100,400,429.00
pbft,XOV,100,400,449.67
pbft,XOV,100,400,441.67
pbft,XOV,100,400,477.33
pbft,XOV,100,400,446.00
pbft,XOV,100,400,436.00
pbft,XOV,100,400,477.33
pbft,XOV,100,400,406.33
pbft,XOV,100,400,453.00
pbft,XOV,100,400,482.67
pbft,XOV,100,400,432.33
pbft,XOV,100,400,433.33
pbft,XOV,100,400,442.00
pbft,XOV,100,400,492.00
pbft,XOV,100,400,471.67
pbft,XOV,100,400,427.33
