Protocol,Architecture,Contention,BlockSize,Throughput
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,0.00
pbft,XOV++,100,100,90.33
pbft,XOV++,100,100,67.67
pbft,XOV++,100,100,83.33
pbft,XOV++,100,100,185.33
pbft,XOV++,100,100,99.00
pbft,XOV++,100,100,87.00
pbft,XOV++,100,100,92.67
pbft,XOV++,100,100,67.67
pbft,XOV++,100,100,105.00
pbft,XOV++,100,100,99.33
pbft,XOV++,100,100,134.67
pbft,XOV++,100,100,187.00
pbft,XOV++,100,100,132.67
pbft,XOV++,100,100,100.67
pbft,XOV++,100,100,132.33
pbft,XOV++,100,100,102.00
pbft,XOV++,100,100,151.33
pbft,XOV++,100,100,103.00
pbft,XOV++,100,100,103.67
pbft,XOV++,100,100,117.33
pbft,XOV++,100,100,71.00
pbft,XOV++,100,100,91.33
pbft,XOV++,100,100,62.67
pbft,XOV++,100,100,81.67
pbft,XOV++,100,100,82.33
pbft,XOV++,100,100,43.00
pbft,XOV++,100,100,55.00
pbft,XOV++,100,100,64.67
pbft,XOV++,100,100,70.67
pbft,XOV++,100,100,99.67
pbft,XOV++,100,100,42.67
pbft,XOV++,100,100,68.00
pbft,XOV++,100,100,44.33
pbft,XOV++,100,100,82.00
pbft,XOV++,100,100,63.67
pbft,XOV++,100,100,98.33
pbft,XOV++,100,100,75.67
pbft,XOV++,100,100,57.00
pbft,XOV++,100,100,57.00
pbft,XOV++,100,100,82.00
pbft,XOV++,100,100,74.00
pbft,XOV++,100,100,44.67
pbft,XOV++,100,100,59.33
pbft,XOV++,100,100,73.33
pbft,XOV++,100,100,59.33
pbft,XOV++,100,100,99.00
pbft,XOV++,100,100,59.00
pbft,XOV++,100,100,61.67
pbft,XOV++,100,100,84.33
pbft,XOV++,100,100,57.33
pbft,XOV++,100,100,96.67
pbft,XOV++,100,100,81.67
pbft,XOV++,100,100,101.67
pbft,XOV++,100,100,74.67
pbft,XOV++,100,100,81.67
pbft,XOV++,100,100,57.67
pbft,XOV++,100,100,63.33
pbft,XOV++,100,100,102.33
pbft,XOV++,100,100,48.67
pbft,XOV++,100,100,68.00
pbft,XOV++,100,100,65.67
pbft,XOV++,100,100,68.00
pbft,XOV++,100,100,83.67
pbft,XOV++,100,100,69.00
pbft,XOV++,100,100,43.00
pbft,XOV++,100,100,82.67
pbft,XOV++,100,100,100.33
pbft,XOV++,100,100,76.33
pbft,XOV++,100,100,64.00
pbft,XOV++,100,100,99.00
pbft,XOV++,100,100,93.00
pbft,XOV++,100,100,85.00
pbft,XOV++,100,100,45.33
pbft,XOV++,100,100,71.00
pbft,XOV++,100,100,85.67
pbft,XOV++,100,100,72.67
pbft,XOV++,100,100,88.33
pbft,XOV++,100,100,40.67
pbft,XOV++,100,100,95.00
pbft,XOV++,100,100,79.67
pbft,XOV++,100,100,60.33
pbft,XOV++,100,100,88.33
pbft,XOV++,100,100,98.67
pbft,XOV++,100,100,89.67
pbft,XOV++,100,100,49.00
pbft,XOV++,100,100,63.00
pbft,XOV++,100,100,97.00
pbft,XOV++,100,100,91.00
pbft,XOV++,100,100,60.00
pbft,XOV++,100,100,91.33
pbft,XOV++,100,100,51.67
pbft,XOV++,100,100,67.33
pbft,XOV++,100,100,28.33
pbft,XOV++,100,100,49.00
pbft,XOV++,100,100,98.33
pbft,XOV++,100,100,78.67
pbft,XOV++,100,100,98.67
pbft,XOV++,100,100,90.67
pbft,XOV++,100,100,57.00
