Protocol,Architecture,Contention,BlockSize,Throughput
pbft,XOV++,40,400,0.00
pbft,XOV++,40,400,0.00
pbft,XOV++,40,400,0.00
pbft,XOV++,40,400,0.00
pbft,XOV++,40,400,0.00
pbft,XOV++,40,400,0.00
pbft,XOV++,40,400,159.33
pbft,XOV++,40,400,485.67
pbft,XOV++,40,400,650.67
pbft,XOV++,40,400,636.00
pbft,XOV++,40,400,409.33
pbft,XOV++,40,400,811.00
pbft,XOV++,40,400,707.67
pbft,XOV++,40,400,790.33
pbft,XOV++,40,400,736.00
pbft,XOV++,40,400,728.67
pbft,XOV++,40,400,731.00
pbft,XOV++,40,400,624.67
pbft,XOV++,40,400,733.00
pbft,XOV++,40,400,634.67
pbft,XOV++,40,400,713.67
pbft,XOV++,40,400,724.00
pbft,XOV++,40,400,701.00
pbft,XOV++,40,400,625.00
pbft,XOV++,40,400,779.00
pbft,XOV++,40,400,714.33
pbft,XOV++,40,400,789.33
pbft,XOV++,40,400,702.00
pbft,XOV++,40,400,702.67
pbft,XOV++,40,400,696.00
pbft,XOV++,40,400,705.67
pbft,XOV++,40,400,785.33
pbft,XOV++,40,400,803.00
pbft,XOV++,40,400,713.33
pbft,XOV++,40,400,791.33
pbft,XOV++,40,400,638.67
pbft,XOV++,40,400,769.33
pbft,XOV++,40,400,789.67
pbft,XOV++,40,400,629.00
pbft,XOV++,40,400,700.33
pbft,XOV++,40,400,770.33
pbft,XOV++,40,400,863.67
pbft,XOV++,40,400,623.67
pbft,XOV++,40,400,700.33
pbft,XOV++,40,400,811.00
pbft,XOV++,40,400,788.33
pbft,XOV++,40,400,759.33
pbft,XOV++,40,400,713.00
pbft,XOV++,40,400,728.67
pbft,XOV++,40,400,799.00
pbft,XOV++,40,400,705.33
pbft,XOV++,40,400,686.33
pbft,XOV++,40,400,805.67
pbft,XOV++,40,400,712.67
pbft,XOV++,40,400,702.67
pbft,XOV++,40,400,770.33
pbft,XOV++,40,400,705.33
pbft,XOV++,40,400,617.33
pbft,XOV++,40,400,774.67
pbft,XOV++,40,400,782.33
pbft,XOV++,40,400,818.67
pbft,XOV++,40,400,709.00
pbft,XOV++,40,400,699.00
pbft,XOV++,40,400,784.67
pbft,XOV++,40,400,793.00
pbft,XOV++,40,400,799.33
pbft,XOV++,40,400,713.00
pbft,XOV++,40,400,326.67
pbft,XOV++,40,400,318.67
pbft,XOV++,40,400,632.33
pbft,XOV++,40,400,780.33
pbft,XOV++,40,400,606.67
pbft,XOV++,40,400,631.00
pbft,XOV++,40,400,701.67
pbft,XOV++,40,400,617.00
pbft,XOV++,40,400,628.33
pbft,XOV++,40,400,549.33
pbft,XOV++,40,400,298.67
pbft,XOV++,40,400,457.00
pbft,XOV++,40,400,553.67
pbft,XOV++,40,400,690.67
pbft,XOV++,40,400,717.67
pbft,XOV++,40,400,711.67
pbft,XOV++,40,400,689.33
pbft,XOV++,40,400,781.33
pbft,XOV++,40,400,713.67
pbft,XOV++,40,400,771.67
pbft,XOV++,40,400,712.00
pbft,XOV++,40,400,793.67
pbft,XOV++,40,400,716.00
pbft,XOV++,40,400,807.00
pbft,XOV++,40,400,714.00
pbft,XOV++,40,400,704.67
pbft,XOV++,40,400,785.00
pbft,XOV++,40,400,801.33
pbft,XOV++,40,400,720.00
pbft,XOV++,40,400,780.67
pbft,XOV++,40,400,791.00
pbft,XOV++,40,400,695.67
pbft,XOV++,40,400,785.33
pbft,XOV++,40,400,737.67
pbft,XOV++,40,400,816.67
pbft,XOV++,40,400,703.67
pbft,XOV++,40,400,784.33
pbft,XOV++,40,400,692.00
pbft,XOV++,40,400,797.00
pbft,XOV++,40,400,636.00
pbft,XOV++,40,400,783.00
pbft,XOV++,40,400,714.33
pbft,XOV++,40,400,696.67
pbft,XOV++,40,400,788.00
pbft,XOV++,40,400,688.00
pbft,XOV++,40,400,629.33
pbft,XOV++,40,400,721.33
pbft,XOV++,40,400,718.00
pbft,XOV++,40,400,712.00
pbft,XOV++,40,400,624.67
pbft,XOV++,40,400,701.00
pbft,XOV++,40,400,647.00
pbft,XOV++,40,400,631.33
pbft,XOV++,40,400,699.00
pbft,XOV++,40,400,639.33
pbft,XOV++,40,400,714.00
pbft,XOV++,40,400,731.67
