Protocol,Architecture,Contention,BlockSize,Throughput 
prime,OXII,100,100,33.33
prime,OXII,100,100,100.00
prime,OXII,100,100,66.67
prime,OXII,100,100,100.00
prime,OXII,100,100,100.00
prime,OXII,100,100,100.00
prime,OXII,100,100,100.00
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,166.67
prime,OXII,100,100,133.33
prime,OXII,100,100,166.67
prime,OXII,100,100,166.67
prime,OXII,100,100,166.67
prime,OXII,100,100,133.33
prime,OXII,100,100,166.67
prime,OXII,100,100,166.67
prime,OXII,100,100,166.67
prime,OXII,100,100,166.67
prime,OXII,100,100,166.67
prime,OXII,100,100,133.33
prime,OXII,100,100,166.67
prime,OXII,100,100,166.67
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,166.67
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,166.67
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
prime,OXII,100,100,100.00
prime,OXII,100,100,133.33
prime,OXII,100,100,133.33
