Protocol,Architecture,Contention,BlockSize,Throughput
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,0.00
prime,XOV,100,100,183.00
prime,XOV,100,100,102.67
prime,XOV,100,100,122.33
prime,XOV,100,100,142.33
prime,XOV,100,100,217.00
prime,XOV,100,100,134.67
prime,XOV,100,100,97.33
prime,XOV,100,100,94.00
prime,XOV,100,100,93.33
prime,XOV,100,100,121.33
prime,XOV,100,100,100.67
prime,XOV,100,100,254.67
prime,XOV,100,100,52.33
prime,XOV,100,100,151.33
prime,XOV,100,100,153.00
prime,XOV,100,100,208.67
prime,XOV,100,100,151.33
prime,XOV,100,100,85.33
prime,XOV,100,100,145.67
prime,XOV,100,100,146.00
prime,XOV,100,100,82.67
prime,XOV,100,100,120.67
prime,XOV,100,100,94.00
prime,XOV,100,100,121.67
prime,XOV,100,100,141.33
prime,XOV,100,100,62.33
prime,XOV,100,100,79.33
prime,XOV,100,100,102.00
prime,XOV,100,100,119.33
prime,XOV,100,100,102.00
prime,XOV,100,100,102.67
prime,XOV,100,100,121.67
prime,XOV,100,100,116.67
prime,XOV,100,100,143.33
prime,XOV,100,100,100.00
prime,XOV,100,100,118.33
prime,XOV,100,100,184.00
prime,XOV,100,100,57.33
prime,XOV,100,100,163.67
prime,XOV,100,100,61.67
prime,XOV,100,100,127.33
prime,XOV,100,100,105.67
prime,XOV,100,100,120.33
prime,XOV,100,100,127.33
prime,XOV,100,100,61.33
prime,XOV,100,100,97.00
prime,XOV,100,100,100.00
prime,XOV,100,100,121.33
prime,XOV,100,100,101.00
prime,XOV,100,100,101.67
prime,XOV,100,100,121.67
prime,XOV,100,100,119.33
prime,XOV,100,100,102.33
