Protocol,Architecture,Contention,BlockSize,Throughput
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,12.33
prime,XOV++,100,100,13.00
prime,XOV++,100,100,13.67
prime,XOV++,100,100,0.00
prime,XOV++,100,100,0.00
prime,XOV++,100,100,14.67
prime,XOV++,100,100,134.33
prime,XOV++,100,100,54.00
prime,XOV++,100,100,36.67
prime,XOV++,100,100,71.33
prime,XOV++,100,100,43.00
prime,XOV++,100,100,51.67
prime,XOV++,100,100,49.33
prime,XOV++,100,100,100.67
prime,XOV++,100,100,73.00
prime,XOV++,100,100,75.00
prime,XOV++,100,100,128.67
prime,XOV++,100,100,101.33
prime,XOV++,100,100,80.00
prime,XOV++,100,100,85.67
prime,XOV++,100,100,75.33
prime,XOV++,100,100,75.67
prime,XOV++,100,100,116.67
prime,XOV++,100,100,42.67
prime,XOV++,100,100,67.67
prime,XOV++,100,100,74.00
prime,XOV++,100,100,79.33
prime,XOV++,100,100,31.67
prime,XOV++,100,100,72.33
prime,XOV++,100,100,92.67
prime,XOV++,100,100,74.33
prime,XOV++,100,100,13.33
prime,XOV++,100,100,31.67
prime,XOV++,100,100,63.00
prime,XOV++,100,100,45.67
prime,XOV++,100,100,42.67
prime,XOV++,100,100,49.33
prime,XOV++,100,100,13.33
prime,XOV++,100,100,49.00
prime,XOV++,100,100,55.00
prime,XOV++,100,100,64.00
prime,XOV++,100,100,60.67
prime,XOV++,100,100,63.67
prime,XOV++,100,100,71.67
prime,XOV++,100,100,51.00
prime,XOV++,100,100,88.00
prime,XOV++,100,100,65.00
prime,XOV++,100,100,54.00
prime,XOV++,100,100,85.33
prime,XOV++,100,100,93.33
prime,XOV++,100,100,67.67
prime,XOV++,100,100,78.00
prime,XOV++,100,100,59.00
