Protocol,Architecture,Contention,BlockSize,Throughput
sbft,OX,100,100,0.00
sbft,OX,100,100,0.00
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,0.00
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,0.00
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,66.67
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,0.00
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,0.00
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,0.00
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
sbft,OX,100,100,33.33
