Protocol,Architecture,Contention,BlockSize,Throughput
sbft,OXII,100,100,0.00
sbft,OXII,100,100,66.67
sbft,OXII,100,100,100.00
sbft,OXII,100,100,100.00
sbft,OXII,100,100,100.00
sbft,OXII,100,100,100.00
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,200.00
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,200.00
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,133.33
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
sbft,OXII,100,100,166.67
