Protocol,Architecture,Contention,BlockSize,Throughput
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,54.67
sbft,XOV,100,100,77.33
sbft,XOV,100,100,42.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,0.00
sbft,XOV,100,100,22.67
sbft,XOV,100,100,18.33
sbft,XOV,100,100,193.67
sbft,XOV,100,100,266.67
sbft,XOV,100,100,94.33
sbft,XOV,100,100,71.00
sbft,XOV,100,100,95.67
sbft,XOV,100,100,156.00
sbft,XOV,100,100,150.00
sbft,XOV,100,100,178.00
sbft,XOV,100,100,158.00
sbft,XOV,100,100,200.33
sbft,XOV,100,100,75.33
sbft,XOV,100,100,73.33
sbft,XOV,100,100,104.67
sbft,XOV,100,100,129.00
sbft,XOV,100,100,121.00
sbft,XOV,100,100,93.00
sbft,XOV,100,100,64.33
sbft,XOV,100,100,266.00
sbft,XOV,100,100,54.67
sbft,XOV,100,100,80.00
sbft,XOV,100,100,79.33
sbft,XOV,100,100,117.33
sbft,XOV,100,100,139.67
sbft,XOV,100,100,126.00
sbft,XOV,100,100,118.00
sbft,XOV,100,100,160.33
sbft,XOV,100,100,124.00
sbft,XOV,100,100,118.33
sbft,XOV,100,100,35.00
sbft,XOV,100,100,82.00
sbft,XOV,100,100,98.67
sbft,XOV,100,100,122.33
sbft,XOV,100,100,78.67
sbft,XOV,100,100,80.33
sbft,XOV,100,100,79.67
sbft,XOV,100,100,99.00
sbft,XOV,100,100,138.33
sbft,XOV,100,100,171.67
sbft,XOV,100,100,99.33
sbft,XOV,100,100,118.67
sbft,XOV,100,100,121.33
sbft,XOV,100,100,115.67
sbft,XOV,100,100,163.67
sbft,XOV,100,100,76.33
sbft,XOV,100,100,142.33
sbft,XOV,100,100,84.33
sbft,XOV,100,100,124.33
sbft,XOV,100,100,119.67
sbft,XOV,100,100,59.67
sbft,XOV,100,100,80.67
sbft,XOV,100,100,114.00
sbft,XOV,100,100,125.00
sbft,XOV,100,100,182.67
sbft,XOV,100,100,20.00
sbft,XOV,100,100,101.33
sbft,XOV,100,100,80.67
sbft,XOV,100,100,161.33
sbft,XOV,100,100,61.33
sbft,XOV,100,100,119.33
sbft,XOV,100,100,136.33
sbft,XOV,100,100,119.67
sbft,XOV,100,100,142.00
sbft,XOV,100,100,115.33
sbft,XOV,100,100,135.33
sbft,XOV,100,100,98.67
sbft,XOV,100,100,120.67
sbft,XOV,100,100,65.33
sbft,XOV,100,100,136.00
sbft,XOV,100,100,120.33
sbft,XOV,100,100,101.33
sbft,XOV,100,100,99.33
sbft,XOV,100,100,77.67
sbft,XOV,100,100,182.00
sbft,XOV,100,100,56.67
sbft,XOV,100,100,85.00
sbft,XOV,100,100,95.67
sbft,XOV,100,100,98.33
sbft,XOV,100,100,97.67
sbft,XOV,100,100,122.33
sbft,XOV,100,100,155.00
sbft,XOV,100,100,223.67
sbft,XOV,100,100,19.67
sbft,XOV,100,100,63.33
sbft,XOV,100,100,119.67
sbft,XOV,100,100,164.00
sbft,XOV,100,100,79.33
sbft,XOV,100,100,125.33
sbft,XOV,100,100,75.67
sbft,XOV,100,100,141.67
sbft,XOV,100,100,137.33
sbft,XOV,100,100,100.67
sbft,XOV,100,100,72.67
sbft,XOV,100,100,102.00
sbft,XOV,100,100,124.00
sbft,XOV,100,100,98.33
sbft,XOV,100,100,136.67
sbft,XOV,100,100,80.67
sbft,XOV,100,100,122.67
sbft,XOV,100,100,102.00
sbft,XOV,100,100,101.67
sbft,XOV,100,100,105.67
sbft,XOV,100,100,140.67
sbft,XOV,100,100,79.33
sbft,XOV,100,100,120.00
sbft,XOV,100,100,117.33
sbft,XOV,100,100,79.00
sbft,XOV,100,100,117.00
sbft,XOV,100,100,137.33
sbft,XOV,100,100,61.67
sbft,XOV,100,100,115.67
sbft,XOV,100,100,137.67
sbft,XOV,100,100,102.67
