Protocol,Architecture,Contention,BlockSize,Throughput
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,0.00
sbft,XOV++,100,100,27.67
sbft,XOV++,100,100,73.00
sbft,XOV++,100,100,40.67
sbft,XOV++,100,100,36.33
sbft,XOV++,100,100,41.33
sbft,XOV++,100,100,70.00
sbft,XOV++,100,100,98.33
sbft,XOV++,100,100,27.00
sbft,XOV++,100,100,75.67
sbft,XOV++,100,100,77.00
sbft,XOV++,100,100,103.00
sbft,XOV++,100,100,80.00
sbft,XOV++,100,100,54.33
sbft,XOV++,100,100,26.00
sbft,XOV++,100,100,58.33
sbft,XOV++,100,100,79.00
sbft,XOV++,100,100,22.33
sbft,XOV++,100,100,27.33
sbft,XOV++,100,100,100.67
sbft,XOV++,100,100,69.00
sbft,XOV++,100,100,65.67
sbft,XOV++,100,100,38.67
sbft,XOV++,100,100,38.67
sbft,XOV++,100,100,30.00
sbft,XOV++,100,100,16.00
sbft,XOV++,100,100,43.67
sbft,XOV++,100,100,91.33
sbft,XOV++,100,100,13.67
sbft,XOV++,100,100,32.00
sbft,XOV++,100,100,29.67
sbft,XOV++,100,100,62.00
sbft,XOV++,100,100,53.33
sbft,XOV++,100,100,68.67
sbft,XOV++,100,100,49.67
sbft,XOV++,100,100,78.33
sbft,XOV++,100,100,18.00
sbft,XOV++,100,100,34.33
sbft,XOV++,100,100,65.67
sbft,XOV++,100,100,53.67
sbft,XOV++,100,100,34.33
sbft,XOV++,100,100,33.00
sbft,XOV++,100,100,36.00
sbft,XOV++,100,100,37.00
sbft,XOV++,100,100,62.00
sbft,XOV++,100,100,14.00
sbft,XOV++,100,100,30.33
sbft,XOV++,100,100,38.00
sbft,XOV++,100,100,13.33
sbft,XOV++,100,100,70.67
sbft,XOV++,100,100,48.00
sbft,XOV++,100,100,18.67
sbft,XOV++,100,100,70.67
sbft,XOV++,100,100,69.67
sbft,XOV++,100,100,72.67
sbft,XOV++,100,100,48.67
sbft,XOV++,100,100,59.33
sbft,XOV++,100,100,38.00
sbft,XOV++,100,100,49.67
sbft,XOV++,100,100,32.33
sbft,XOV++,100,100,63.67
sbft,XOV++,100,100,18.67
sbft,XOV++,100,100,37.00
sbft,XOV++,100,100,52.67
sbft,XOV++,100,100,19.00
sbft,XOV++,100,100,77.67
sbft,XOV++,100,100,58.67
sbft,XOV++,100,100,50.33
sbft,XOV++,100,100,39.00
sbft,XOV++,100,100,17.67
sbft,XOV++,100,100,36.33
sbft,XOV++,100,100,64.33
sbft,XOV++,100,100,53.00
sbft,XOV++,100,100,52.67
sbft,XOV++,100,100,32.33
sbft,XOV++,100,100,86.67
sbft,XOV++,100,100,33.33
sbft,XOV++,100,100,57.00
sbft,XOV++,100,100,53.33
sbft,XOV++,100,100,73.00
sbft,XOV++,100,100,37.67
sbft,XOV++,100,100,56.33
sbft,XOV++,100,100,33.00
sbft,XOV++,100,100,58.67
sbft,XOV++,100,100,60.00
sbft,XOV++,100,100,63.67
sbft,XOV++,100,100,36.67
sbft,XOV++,100,100,79.33
sbft,XOV++,100,100,57.00
sbft,XOV++,100,100,36.33
sbft,XOV++,100,100,44.67
sbft,XOV++,100,100,56.33
sbft,XOV++,100,100,39.00
sbft,XOV++,100,100,17.67
sbft,XOV++,100,100,12.33
sbft,XOV++,100,100,36.33
sbft,XOV++,100,100,39.33
sbft,XOV++,100,100,71.67
sbft,XOV++,100,100,55.33
sbft,XOV++,100,100,55.67
sbft,XOV++,100,100,56.33
sbft,XOV++,100,100,35.33
sbft,XOV++,100,100,36.00
sbft,XOV++,100,100,55.67
sbft,XOV++,100,100,73.00
sbft,XOV++,100,100,70.00
